,count,mean,std,min,25%,50%,75%,max
headline_char_count,2493.0,60.2,17.49,17.0,49.0,59.0,70.0,130.0
headline_word_count,2493.0,9.78,3.03,3.0,8.0,10.0,11.0,21.0
